state,state_total_employment_selected_industries,state_total_foreign,state_pct_total_foreign,state_total_foreign_hispanic,state_pct_total_foreign_hispanic,rank_total_employment,rank_total_foreign,rank_total_foreign_hispanic
California/CA,384265,288981,75,274382,71,1,1,1
Texas/TX,107166,48761,46,41488,39,2,2,3
Washington/WA,72239,47394,66,43696,60,3,3,2
Wisconsin/WI,70110,15884,23,11808,17,4,11,13
Illinois/IL,68122,22608,33,17927,26,5,6,7
Florida/FL,67832,41130,61,35932,53,6,4,4
Pennsylvania/PA,64254,14016,22,10469,16,7,14,15
North Carolina/NC,62759,22804,36,20053,32,8,5,6
Georgia/GA,62256,21289,34,16477,26,9,8,8
Iowa/IA,54795,17022,31,11010,20,10,9,14
Arkansas/AR,48109,14480,30,11872,25,11,13,12
Ohio/OH,47658,4630,10,2594,5,12,32,33
New York/NY,46342,13423,29,8689,19,13,16,19
Missouri/MO,45864,7486,16,5141,11,14,22,22
Minnesota/MN,45854,12585,27,7245,16,15,17,21
Michigan/MI,43008,11316,26,9031,21,16,20,18
Oregon/OR,42625,22503,53,21457,50,17,7,5
Nebraska/NE,38073,16823,44,12687,33,18,10,11
Indiana/IN,35331,6145,17,4725,13,19,25,27
Kansas/KS,32144,11664,36,9362,29,20,19,17
Idaho/ID,30330,13622,45,13205,44,21,15,10
Virginia/VA,29350,6653,23,4855,17,22,23,25
Kentucky/KY,29034,6610,23,4915,17,23,24,24
Tennessee/TN,28429,6073,21,3892,14,24,26,29
Colorado/CO,25934,10162,39,8220,32,25,21,20
Arizona/AZ,24986,15339,61,14539,58,26,12,9
Alabama/AL,24512,4316,18,3576,15,27,33,31
Oklahoma/OK,22584,5693,25,4621,20,28,28,28
New Jersey/NJ,21485,12336,57,9938,46,29,18,16
South Carolina/SC,19440,4132,21,3701,19,30,34,30
Mississippi/MS,18742,1197,6,1159,6,31,42,39
Utah/UT,15198,5915,39,4750,31,32,27,26
South Dakota/SD,14816,4760,32,1443,10,33,31,38
Maryland/MD,13534,3853,28,1856,14,34,35,36
Louisiana/LA,13398,2064,15,1753,13,35,40,37
Massachusetts/MA,12996,5462,42,2887,22,36,29,32
New Mexico/NM,10601,5200,49,5136,48,37,30,23
North Dakota/ND,9106,376,4,150,2,38,48,49
Montana/MT,8406,600,7,483,6,39,46,43
Delaware/DE,7198,3039,42,2076,29,40,38,35
Vermont/VT,6850,706,10,269,4,41,44,46
Hawaii/HI,6286,3142,50,273,4,42,37,45
Nevada/NV,5911,2806,47,2495,42,43,39,34
Maine/ME,5364,405,8,62,1,44,47,50
Connecticut/CT,5174,1460,28,876,17,45,41,40
Alaska/AK,4741,3665,77,646,14,46,36,41
West Virginia/WV,3707,321,9,285,8,47,49,44
Wyoming/WY,3491,231,7,190,5,48,50,48
New Hampshire/NH,2739,662,24,259,9,49,45,47
Rhode Island/RI,2126,908,43,605,28,50,43,42
District of Columbia/DC,139,39,28,39,28,51,51,51
